Image,,String,English,Marathi,Hindi,Malayalam,Nepali,Bangla,Gujarati,Punjabi,Tamil,Odia,Telugu,Assamese,Khasi,Kannada,Urdu,Manipuri,Konkani,Portuguese,Manipuri_meitei
2,,4,Not True!,असत्य / खोटं!,असत्य / झूठ ,ശരിയല്ല!,सत्य होइन । ,সত্য নয়।,સાચું નથી!,ਗਲਤ!,உண்மை இல்லை!,ସତ ନୁହେଁ!,ఇది నిజం కాదు!,মিছা !,Kam dei kaba shisha!,ನಿಜವಲ್ಲ!,یہ سچ نہیں ہے۔,লাল্লি !,खरें न्हंय!,Falso!,cuMde
2,,5,,,,,,,,,,,,,,,,,,,
2,,6,Why?,का?:,क्यों?:,എന്തുകൊണ്ട്?,किन?,কারণ:,શા માટે:,ਕਿਉਂ:,ஏன்:,କାହିଁକି:,ఎందుకు:,কিয়? :,Balei?,ಏಕೆ:,کیوں,মরমদিঃ,किद्याक?,Porque?,mrM:
2,,7,"There’s no proof for antiviral properties of Datura. On the contrary, consuming Datura can cause disorientation and rapid irregular heart beat, which can be fatal.",,,,,,,,,,,,,,,,,,
3,Image 3,1,Claim:,दावा:,दावा:,വാദം:,दावी:,দাবী:,દાવો:,ਦਾਵਾ:,கூற்று:,ଦାବି:,ఆరోపణ:,দাবী :,Ka jingkam ka bym shisha:,ದಾವೆ:,دعویٰ :,ক্লেইমঃ,दावो:,afirmação:,TMjrib wAfM:
3,,2,Steam inhalation or nasal rinses can cure novel coronavirus infection.,,,,,,,,,,,,,,,,,,
3,,3,Verdict:,निर्णय:,निर्णय:,ശാസ്ത്രീയ പ്രതികരണം: ,निर्णय :,উত্তর:,નિષ્કર્ષ:,ਜਵਾਬ:,தீர்ப்பு:,ନିର୍ଣ୍ଣୟ :,తీర్పు:,উত্তৰ :,Ka jingshem:,ತೀರ್ಪು:,فیصلہ:,ভর্দিক্টঃ,निर्णय:,Veredito:,acuM-cuMd :
3,,4,Not True!,असत्य / खोटं!,असत्य / झूठ ,ശരിയല്ല!,सत्य होइन । ,সত্য নয়।,સાચું નથી!,ਗਲਤ!,உண்மை இல்லை!,ସତ ନୁହେଁ!,ఇది నిజం కాదు!,মিছা !,Kam dei kaba shisha!,ನಿಜವಲ್ಲ!,یہ سچ نہیں ہے۔,লাল্লি !,खरें न्हंय!,Falso!,cuMde
3,,5,,,,,,,,,,,,,,,,,,,
3,,6,Why?,का?:,क्यों?:,എന്തുകൊണ്ട്?,किन?,কারণ:,શા માટે:,ਕਿਉਂ:,ஏன்:,କାହିଁକି:,ఎందుకు:,কিয়? :,Balei?,ಏಕೆ:,کیوں,মরমদিঃ,किद्याक?,Porque?,mrM:
3,,7,"There’s no evidence to show nasal rinses or steam inhalation can prevent COVID-19 infection. Although they can potentially provide relief from some of the symptoms, these methods do not kill viruses and hence should not be used as a cure.",,,,,,,,,,,,,,,,,,
4,Image 4,1,Claim:,दावा:,दावा:,വാദം:,दावी:,দাবী:,દાવો:,ਦਾਵਾ:,கூற்று:,ଦାବି:,ఆరోపణ:,দাবী :,Ka jingkam ka bym shisha:,ದಾವೆ:,دعویٰ :,ক্লেইমঃ,दावो:,afirmação:,TMjrib wAfM:
4,,2,People from North-East India are spreading the coronavirus.,,,,,,,,,,,,,,,,,,
4,,3,Verdict:,निर्णय:,निर्णय:,ശാസ്ത്രീയ പ്രതികരണം: ,निर्णय :,উত্তর:,નિષ્કર્ષ:,ਜਵਾਬ:,தீர்ப்பு:,ନିର୍ଣ୍ଣୟ :,తీర్పు:,উত্তৰ :,Ka jingshem:,ತೀರ್ಪು:,فیصلہ:,ভর্দিক্টঃ,निर्णय:,Veredito:,acuM-cuMd :
4,,4,Not True!,असत्य / खोटं!,असत्य / झूठ ,ശരിയല്ല!,सत्य होइन । ,সত্য নয়।,સાચું નથી!,ਗਲਤ!,உண்மை இல்லை!,ସତ ନୁହେଁ!,ఇది నిజం కాదు!,মিছা !,Kam dei kaba shisha!,ನಿಜವಲ್ಲ!,یہ سچ نہیں ہے۔,লাল্লি !,खरें न्हंय!,Falso!,cuMde
4,,5,,,,,,,,,,,,,,,,,,,
4,,6,Why?,का?:,क्यों?:,എന്തുകൊണ്ട്?,किन?,কারণ:,શા માટે:,ਕਿਉਂ:,ஏன்:,କାହିଁକି:,ఎందుకు:,কিয়? :,Balei?,ಏಕೆ:,کیوں,মরমদিঃ,किद्याक?,Porque?,mrM:
4,,7,People from the North-East are no more likely to be carriers or spreaders of the coronavirus than people from other regions. Any person who is infected with the novel coronavirus and does not follow precautions can spread the infection.,,,,,,,,,,,,,,,,,,
5,Image 5,1,Claim:,दावा:,दावा:,വാദം:,दावी:,দাবী:,દાવો:,ਦਾਵਾ:,கூற்று:,ଦାବି:,ఆరోపణ:,দাবী :,Ka jingkam ka bym shisha:,ದಾವೆ:,دعویٰ :,ক্লেইমঃ,दावो:,afirmação:,TMjrib wAfM:
5,,2,Consuming Kalonji seeds which are rich in hydroxychloroquine will prevent COVID-19,,,,,,,,,,,,,,,,,,
5,,3,Verdict:,निर्णय:,निर्णय:,ശാസ്ത്രീയ പ്രതികരണം: ,निर्णय :,উত্তর:,નિષ્કર્ષ:,ਜਵਾਬ:,தீர்ப்பு:,ନିର୍ଣ୍ଣୟ :,తీర్పు:,উত্তৰ :,Ka jingshem:,ತೀರ್ಪು:,فیصلہ:,ভর্দিক্টঃ,निर्णय:,Veredito:,acuM-cuMd :
5,,4,Not True!,असत्य / खोटं!,असत्य / झूठ ,ശരിയല്ല!,सत्य होइन । ,সত্য নয়।,સાચું નથી!,ਗਲਤ!,உண்மை இல்லை!,ସତ ନୁହେଁ!,ఇది నిజం కాదు!,মিছা !,Kam dei kaba shisha!,ನಿಜವಲ್ಲ!,یہ سچ نہیں ہے۔,লাল্লি !,खरें न्हंय!,Falso!,cuMde
5,,5,,,,,,,,,,,,,,,,,,,
5,,6,Why?,का?:,क्यों?:,എന്തുകൊണ്ട്?,किन?,কারণ:,શા માટે:,ਕਿਉਂ:,ஏன்:,କାହିଁକି:,ఎందుకు:,কিয়? :,Balei?,ಏಕೆ:,کیوں,মরমদিঃ,किद्याक?,Porque?,mrM:
5,,7,"Kalonji seeds are not rich in hydroxychloroquine, and have not been shown to protect against COVID-19. They are instead rich in an unrelated compound called thymoquinone.",,,,,,,,,,,,,,,,,,
6,Image 6,1,Claim:,दावा:,दावा:,വാദം:,दावी:,দাবী:,દાવો:,ਦਾਵਾ:,கூற்று:,ଦାବି:,ఆరోపణ:,দাবী :,Ka jingkam ka bym shisha:,ದಾವೆ:,دعویٰ :,ক্লেইমঃ,दावो:,afirmação:,TMjrib wAfM:
6,,2,Spraying bleach on someone who might be infected destroys the novel coronavirus.,,,,,,,,,,,,,,,,,,
6,,3,Verdict:,निर्णय:,निर्णय:,ശാസ്ത്രീയ പ്രതികരണം: ,निर्णय :,উত্তর:,નિષ્કર્ષ:,ਜਵਾਬ:,தீர்ப்பு:,ନିର୍ଣ୍ଣୟ :,తీర్పు:,উত্তৰ :,Ka jingshem:,ತೀರ್ಪು:,فیصلہ:,ভর্দিক্টঃ,निर्णय:,Veredito:,acuM-cuMd :
6,,4,Not True!,असत्य / खोटं!,असत्य / झूठ ,ശരിയല്ല!,सत्य होइन । ,সত্য নয়।,સાચું નથી!,ਗਲਤ!,உண்மை இல்லை!,ସତ ନୁହେଁ!,ఇది నిజం కాదు!,মিছা !,Kam dei kaba shisha!,ನಿಜವಲ್ಲ!,یہ سچ نہیں ہے۔,লাল্লি !,खरें न्हंय!,Falso!,cuMde
6,,5,,,,,,,,,,,,,,,,,,,
6,,6,Why?,का?:,क्यों?:,എന്തുകൊണ്ട്?,किन?,কারণ:,શા માટે:,ਕਿਉਂ:,ஏன்:,କାହିଁକି:,ఎందుకు:,কিয়? :,Balei?,ಏಕೆ:,کیوں,মরমদিঃ,किद्याक?,Porque?,mrM:
6,,7,"Spraying bleach cannot destroy the coronavirus inside the body of infected people. Bleach can be used to disinfect surfaces. However, it is generally not recommended for use on humans, especially at high concentrations, since it can irritate the eyes, throat and skin.",,,,,,,,,,,,,,,,,,
7,Image 7,1,Claim:,दावा:,दावा:,വാദം:,दावी:,দাবী:,દાવો:,ਦਾਵਾ:,கூற்று:,ଦାବି:,ఆరోపణ:,দাবী :,Ka jingkam ka bym shisha:,ದಾವೆ:,دعویٰ :,ক্লেইমঃ,दावो:,afirmação:,TMjrib wAfM:
7,,2,People in North-eastern states are protected from coronavirus due to high UV radiation from the sun,,,,,,,,,,,,,,,,,,
7,,3,Verdict:,निर्णय:,निर्णय:,ശാസ്ത്രീയ പ്രതികരണം: ,निर्णय :,উত্তর:,નિષ્કર્ષ:,ਜਵਾਬ:,தீர்ப்பு:,ନିର୍ଣ୍ଣୟ :,తీర్పు:,উত্তৰ :,Ka jingshem:,ತೀರ್ಪು:,فیصلہ:,ভর্দিক্টঃ,निर्णय:,Veredito:,acuM-cuMd :
7,,4,Not True!,असत्य / खोटं!,असत्य / झूठ ,ശരിയല്ല!,सत्य होइन । ,সত্য নয়।,સાચું નથી!,ਗਲਤ!,உண்மை இல்லை!,ସତ ନୁହେଁ!,ఇది నిజం కాదు!,মিছা !,Kam dei kaba shisha!,ನಿಜವಲ್ಲ!,یہ سچ نہیں ہے۔,লাল্লি !,खरें न्हंय!,Falso!,cuMde
7,,5,,,,,,,,,,,,,,,,,,,
7,,6,Why?,का?:,क्यों?:,എന്തുകൊണ്ട്?,किन?,কারণ:,શા માટે:,ਕਿਉਂ:,ஏன்:,କାହିଁକି:,ఎందుకు:,কিয়? :,Balei?,ಏಕೆ:,کیوں,মরমদিঃ,किद्याक?,Porque?,mrM:
7,,7,"The highest energy UV rays, capable of damaging RNA and DNA including in the novel coronavirus, are almost completely blocked by the ozone layer in the Earth’s atmosphere. Overexposure to these UV rays can lead to skin cancer.",,,,,,,,,,,,,,,,,,
8,Image 8,1,Claim:,दावा:,दावा:,വാദം:,दावी:,দাবী:,દાવો:,ਦਾਵਾ:,கூற்று:,ଦାବି:,ఆరోపణ:,দাবী :,Ka jingkam ka bym shisha:,ದಾವೆ:,دعویٰ :,ক্লেইমঃ,दावो:,afirmação:,TMjrib wAfM:
8,,2,Consuming garlic can help prevent or recover from COVID-19.,,,,,,,,,,,,,,,,,,
8,,3,Verdict:,निर्णय:,निर्णय:,ശാസ്ത്രീയ പ്രതികരണം: ,निर्णय :,উত্তর:,નિષ્કર્ષ:,ਜਵਾਬ:,தீர்ப்பு:,ନିର୍ଣ୍ଣୟ :,తీర్పు:,উত্তৰ :,Ka jingshem:,ತೀರ್ಪು:,فیصلہ:,ভর্দিক্টঃ,निर्णय:,Veredito:,acuM-cuMd :
8,,4,Most Likely False.,बहुतेक शक्य नाही,असत्य होने कि तीव्र संभावना,മിക്കവാറും തെറ്റാണ്,सम्भवत: सत्य होइन।,খুব সম্ভবত ভুল।,મોટે ભાગે ખોટી,ਗਲਤ ਹੋਣ ਦੀ ਸੰਭਾਵਨਾ ਹੈ,பெரும்பாலும் உண்மையல்ல,ଦୃଢ଼ ସମ୍ଭାବ୍ୟ ମିଥ୍ୟା,చాలా మటుకు అబద్ధాలే,সম্ভৱতঃ মিছা ।,Ka Lam Bakla ,ಬಹುಪಾಲು ತಪ್ಪು,فیصلہ: امکانی طور پر یہ غلط ہے,মশী লানবা য়াই, चड-करून फट,Provavelmente falso,ciHnniZAI aoI
8,,5,(Not Enough Evidence),(पुरेसा पुरावा नाही),(पर्याप्त प्रमाण नहीं है),(കൂടുതൽ തെളിവുകൾ ആവശ്യമാണ്),(पर्याप्त प्रमाण छैन),(অপর্যাপ্ত তথ্য প্রমাণ),(વધુ પુરાવા જરૂરી),(ਕਾਫ਼ੀ ਸਬੂਤ ਨਹੀਂ ਹਨ),(போதுமான சான்றுகள் தற்போது இல்லை),(ପର୍ଯ୍ୟାପ୍ତ ପ୍ରମାଣ ନାହିଁ),(తగిన ఆధారాలు లేవు),(পৰ্য্যাপ্ত প্ৰমাণ নাই),(ym don ki sakhi kiba biang),(ಸಾಕಷ್ಟು ಪುರಾವೆಗಳಿಲ್ಲ),(نا کافی ثبوت),(চপ চাবা খুদম চাংদম লৈত্রি),(अपुरे पुरावे) ,(não há evidência suficiente),( msi fjnA KHd_ri )
